m_name	n_atoms_without_Hydrogen	n_atoms_with_Hydrogen	m_weight	m_avg_weigth	m_weigth_without_Hydrogen	n_valence_electrons	n_aliphatic_carbocycles	n_aliphatic_heterocycles	n_aliphatic_rings	n_amide_bonds	n_aromatic_carbocycles	n_aromatic_heterocycles	n_aromatic_rings	n_saturated_carbocycles	n_saturated_heterocycles	n_saturated_rings	n_HBA	n_HBD	n_hetero_atoms	n_hetero_cycles	n_rings	n_strict_rotable_bonds	n_non_strict_rotable_bonds	n_primary_carbon_atoms	n_HOH	n_O	n_briged_head_atoms	n_atoms_stereo_centers	n_atoms_unspecified_stereo_centers	n_spiro_atoms	m_logp	m_mr	fraction_CSP3
CEPHALOGLYCIN	28	47	405.099456328	386.2800000000002	405.43200000000013	148	0	2	2	2	1	0	1	0	1	1	7	3	10	2	3	6	8	18	4	9	0	3	3	0	-0.011899999999999189	99.68790000000004	0.3333333333333333
CEPHRADINE	24	43	349.1096270879999	330.2600000000001	349.41200000000015	128	1	2	3	2	0	0	0	0	1	1	5	3	8	2	3	4	5	16	4	7	0	3	3	0	0.3486000000000002	89.79090000000004	0.4375
CHLORAMPHENICOL	20	32	322.012326844	311.03600000000006	323.13200000000006	110	0	0	0	1	1	0	1	0	0	0	5	3	9	0	1	6	7	11	3	7	0	2	2	0	0.909	72.56670000000003	0.36363636363636365
CHLORAMPHENICOL_PALMITATE	37	79	560.2419924239999	519.2110000000002	561.5470000000001	210	0	0	0	1	1	0	1	0	0	0	6	2	10	0	1	21	23	27	2	8	0	2	2	0	6.941200000000008	146.75189999999986	0.7037037037037037
CHLOROQUINE_PHOSPHATE	22	48	319.18152551199995	293.672	319.88000000000005	120	0	0	0	0	1	1	2	0	0	0	3	1	4	1	2	8	8	18	1	3	0	1	1	0	4.810600000000004	96.85970000000006	0.5
CHLOROTHIAZIDE	17	23	294.9488253519999	289.68100000000004	295.72900000000004	92	0	1	1	0	1	0	1	0	0	0	5	2	10	1	2	1	1	7	3	7	0	0	0	0	-0.0608999999999999	61.298700000000004	0.0
CHLOROTRIANISENE	27	48	380.117922212	359.7030000000001	380.8710000000001	138	0	0	0	0	3	0	3	0	0	0	3	0	4	0	3	6	6	23	0	3	0	0	0	0	5.867800000000004	110.75100000000003	0.13043478260869565
CHLORPROPAMIDE	17	30	276.033540956	263.64099999999996	276.745	94	0	0	0	2	1	0	1	0	0	0	3	2	7	0	1	4	6	10	2	5	0	0	0	0	1.7379	65.46320000000003	0.3
CHOLECALCIFEROL	28	72	384.339216028	340.2960000000001	384.6480000000003	158	3	0	3	0	0	0	0	3	0	3	1	1	1	0	3	6	6	27	1	1	0	5	5	0	7.619000000000009	121.18880000000009	0.7777777777777778
CICLETANINE	18	30	261.055656304	249.61199999999994	261.70799999999997	92	0	1	1	0	1	1	2	0	0	0	3	1	4	2	3	1	1	14	1	3	0	1	1	0	3.3686200000000017	68.72280000000003	0.21428571428571427
CILAZAPRIL	30	61	417.22637109199997	386.25800000000015	417.5060000000003	164	0	2	2	1	1	0	1	0	2	2	6	2	8	2	3	8	9	22	2	8	0	3	3	0	1.5955	110.4185000000001	0.5909090909090909
CILOSTAZOL	27	54	369.21647510400004	342.25300000000016	369.4690000000002	144	1	1	2	1	1	1	2	1	0	1	6	1	7	2	4	7	7	20	1	7	0	0	0	0	3.4647000000000014	101.76470000000005	0.6
CIMETIDINE	17	33	252.11571551199998	236.219	252.347	92	0	0	0	0	0	1	1	0	0	0	4	3	7	1	1	5	7	10	3	6	0	0	0	0	0.5974	69.59710000000003	0.5
CINOXACIN	19	29	262.05897142000003	252.14099999999993	262.22099999999995	98	0	1	1	0	1	1	2	0	0	0	6	1	7	2	3	2	2	12	1	7	0	0	0	0	0.8432999999999997	64.75930000000001	0.25
CIPROFIBRATE	18	32	288.03199966799997	275.046	289.158	98	1	0	1	0	1	0	1	1	0	1	2	1	5	0	2	4	4	13	1	3	0	1	1	0	3.589800000000003	70.57980000000003	0.46153846153846156
CIPROFLOXACIN	24	42	331.13321965599994	313.2030000000001	331.34700000000004	126	1	1	2	0	1	1	2	1	1	2	5	2	7	2	4	3	3	17	2	6	0	0	0	0	1.5833	88.47900000000006	0.4117647058823529
CISAPRIDE_MONOHYDRATE	32	61	465.183062308	436.7210000000002	465.95300000000015	174	0	1	1	1	2	0	2	0	1	1	6	2	9	1	3	9	10	23	3	7	0	2	2	0	3.358100000000001	122.03660000000002	0.43478260869565216
CLARITHROMYCIN	52	121	747.476891268	678.4120000000003	747.964	304	0	3	3	0	0	0	0	0	3	3	14	4	14	3	3	8	8	38	4	14	0	18	18	0	2.4397000000000046	191.0481999999994	0.9473684210526315
CLEBOPRIDE	26	50	373.155704688	349.6920000000002	373.8840000000002	138	0	1	1	1	2	0	2	0	1	1	4	2	6	1	3	5	6	20	3	5	0	0	0	0	3.3252000000000024	104.62360000000002	0.35
CLENBUTEROL	17	35	276.07961855599996	259.051	277.195	96	0	0	0	0	1	0	1	0	0	0	3	3	5	0	1	3	4	12	4	3	0	1	1	0	2.9971000000000005	73.58990000000001	0.5
CLIDINIUM_BROMIDE	26	52	352.19072011209	326.24600000000004	352.45400000000006	136	0	3	3	0	2	0	2	0	3	3	3	1	4	3	5	4	5	22	1	4	2	1	1	0	2.7045000000000003	99.27220000000004	0.4090909090909091
CLOBUTINOL	17	39	255.138992004	233.61299999999997	255.789	96	0	0	0	0	1	0	1	0	0	0	2	1	3	0	1	5	5	14	1	2	0	2	2	0	2.831200000000001	73.49780000000004	0.5714285714285714
CLOFAZIMINE	33	55	472.12215206400003	451.2310000000002	473.40700000000015	164	1	1	2	0	3	0	3	0	0	0	4	1	6	1	5	4	4	27	1	4	0	0	0	0	7.489800000000005	138.13569999999993	0.1111111111111111
CLOFIBRATE	16	31	242.07097202	227.58199999999997	242.702	88	0	0	0	0	1	0	1	0	0	0	3	0	4	0	1	4	5	12	0	3	0	0	0	0	3.060500000000001	62.79200000000004	0.4166666666666667
CLONIXIN	18	29	262.050905272	251.60799999999995	262.69599999999997	92	0	0	0	0	1	1	2	0	0	0	3	2	5	1	2	3	3	13	2	4	0	0	0	0	3.485220000000001	70.66800000000002	0.07692307692307693
CLOPIDOGREL_BISULFATE	21	37	321.059027432	305.701	321.82900000000006	110	0	1	1	0	1	1	2	0	0	0	4	0	5	2	3	3	4	16	0	3	0	1	1	0	3.6739000000000024	84.64200000000004	0.3125
CLOTRIMAZOLE	25	42	344.10802622400007	327.709	344.845	122	0	0	0	0	3	1	4	0	0	0	2	0	3	1	4	4	4	22	0	2	0	0	0	0	5.376700000000004	101.84300000000002	0.045454545454545456
CLOXACILLIN_SODIUM	29	47	435.0655693559999	417.7450000000002	435.8890000000002	152	0	2	2	2	1	1	2	0	2	2	6	2	10	3	4	4	5	19	2	8	0	3	3	0	2.5487200000000003	106.66800000000005	0.3684210526315789
COLCHICINE	29	54	399.16818752	374.24300000000017	399.44300000000015	154	1	0	1	1	2	0	2	0	0	0	6	1	7	0	3	5	6	22	1	7	0	1	1	0	2.871600000000001	109.23470000000006	0.36363636363636365
COLISTIN_SULFATE	81	179	1154.7499271959998	1056.6709999999994	1155.4549999999997	464	0	1	1	11	0	0	0	0	1	1	18	18	29	1	1	28	32	52	23	29	0	13	13	0	-5.8314999999999975	300.8683	0.7884615384615384
CORTISONE_ACETATE	26	54	360.193673996	332.2260000000001	360.45000000000016	142	4	0	4	0	0	0	0	3	0	3	5	2	5	0	4	2	2	21	2	5	0	6	6	0	1.9898	94.14260000000004	0.7619047619047619
CROMOLYN_SODIUM	34	50	468.0692613319999	452.2420000000003	468.37000000000023	174	0	0	0	0	2	2	4	0	0	0	9	3	11	2	4	8	8	23	3	11	0	0	0	0	2.1145	115.88340000000007	0.13043478260869565
CYCLACILLIN	23	46	341.14092721599997	318.249	341.433	128	1	2	3	2	0	0	0	1	2	3	5	3	8	2	3	3	4	15	4	7	0	3	3	0	0.2797000000000011	85.66190000000003	0.8
CYCLANDELATE	20	44	276.172544628	252.18399999999994	276.37600000000003	110	1	0	1	0	1	0	1	1	0	1	3	1	3	0	2	3	4	17	1	3	0	3	3	0	3.4780000000000024	78.07780000000005	0.5882352941176471
CYCLOBENZAPRINE_HYDROCHLORIDE	21	42	275.167399672	254.22699999999992	275.39500000000004	106	1	0	1	0	2	0	2	0	0	0	1	0	1	0	3	3	3	20	0	1	0	0	0	0	2.6446000000000014	91.31400000000005	0.2
CYCLOFENIL	27	51	364.16745924799994	340.2490000000001	364.44100000000003	140	1	0	1	0	2	0	2	1	0	1	4	0	4	0	3	4	6	23	0	4	0	0	0	0	5.303200000000005	104.60900000000005	0.30434782608695654
CYCLOPHOSPHAMIDE	14	29	260.02481971	245.96899999999997	261.089	84	0	1	1	0	0	0	0	0	1	1	2	1	7	1	1	5	5	7	1	4	0	1	1	0	1.884	59.19120000000004	1.0
CYCLOTHIAZIDE	24	40	389.02707567199997	373.75800000000015	389.8860000000002	130	2	1	3	0	1	0	1	1	0	1	5	3	10	1	4	2	2	14	4	7	2	4	4	0	1.2295000000000005	89.40140000000001	0.42857142857142855
CYSTEAMINE_BITARTRATE	4	11	77.029920224	70.096	77.15199999999999	26	0	0	0	0	0	0	0	0	0	0	2	2	2	0	0	1	1	2	2	1	0	0	0	0	-0.12509999999999988	22.9074	1.0
DANAZOL	25	52	337.204179104	310.24700000000007	337.4630000000001	132	4	0	4	0	0	1	1	3	0	3	3	1	3	1	5	0	0	22	1	3	0	6	6	0	4.221000000000004	96.35280000000004	0.6818181818181818
DAPSONE	17	29	248.061948624	236.21099999999996	248.307	88	0	0	0	0	2	0	2	0	0	0	4	2	5	0	2	2	2	12	4	4	0	0	0	0	1.6838000000000002	67.16060000000002	0.0
DEFERIPRONE	10	19	139.063328528	130.08199999999997	139.154	54	0	0	0	0	0	1	1	0	0	0	3	1	3	1	1	0	0	7	1	3	0	0	0	0	0.39931999999999995	38.08480000000001	0.2857142857142857
DEHYDROCHOLIC	29	63	402.2406241879999	368.2590000000001	402.53100000000023	160	4	0	4	0	0	0	0	4	0	4	4	1	5	0	4	4	4	24	1	5	0	8	8	0	4.073300000000003	107.03780000000008	0.8333333333333334
DELAVIRDINE_MESYLATE	32	60	456.194359756	428.3480000000002	456.57200000000006	170	0	1	1	1	1	2	3	0	1	1	6	3	10	3	4	6	7	22	3	9	0	0	0	0	2.7171000000000003	127.87740000000002	0.36363636363636365
DEMECLOCYCLINE_HYDROCHLORIDE	32	53	464.09864331199987	443.6900000000002	464.8580000000003	170	3	0	3	0	1	0	1	2	0	2	10	6	11	0	4	1	1	21	7	10	0	5	5	0	0.10829999999999979	110.51040000000006	0.38095238095238093
DESLORATADINE	22	41	310.123676288	291.676	310.8280000000001	112	1	1	2	0	1	1	2	0	1	1	2	1	3	2	4	0	0	19	1	2	0	0	0	0	4.018900000000003	91.22270000000005	0.3157894736842105
DESMOPRESSIN	74	138	1068.426955488	1004.7259999999993	1069.2379999999994	402	0	2	2	11	2	0	2	0	2	2	15	14	28	2	4	19	23	46	18	26	0	7	7	0	-4.1320300000000145	271.4036999999997	0.4782608695652174
DEXPANTHENOL	14	33	205.131408088	186.10199999999995	205.25399999999996	84	0	0	0	1	0	0	0	0	0	0	4	4	5	0	0	6	7	9	4	5	0	1	1	0	-1.1355999999999997	51.58610000000003	0.8888888888888888
DEXRAZOXANE	19	35	268.117154992	252.14499999999998	268.27299999999997	104	0	2	2	4	0	0	0	0	2	2	6	2	8	2	2	3	3	11	2	8	0	1	1	0	-2.708299999999996	63.77440000000002	0.6363636363636364
DEXTROTHYROXINE_SODIUM	24	35	776.686699832	765.7839999999999	776.8720000000001	128	0	0	0	0	2	0	2	0	0	0	4	3	9	0	2	5	5	15	4	5	0	1	1	0	4.5573000000000015	124.80600000000001	0.13333333333333333
DIACEREIN	27	39	368.05321734399996	356.20100000000014	368.29700000000014	136	1	0	1	0	2	0	2	0	0	0	7	1	8	0	3	3	5	19	1	8	0	0	0	0	2.0108	89.32630000000006	0.10526315789473684
DIAZOXIDE	14	21	229.991676144	223.61999999999998	230.676	74	0	1	1	0	1	0	1	0	0	0	3	1	6	1	2	0	0	8	1	4	0	0	0	0	1.6818	54.54250000000002	0.125
DICHLORPHENAMIDE	16	22	303.914604032	299.11600000000004	305.16400000000004	90	0	0	0	0	1	0	1	0	0	0	4	2	10	0	1	2	2	6	4	6	0	0	0	0	0.2882000000000006	59.208400000000005	0.0
DICLOXACILLIN_SODIUM	30	47	469.02659700399994	453.1980000000002	470.3340000000002	158	0	2	2	2	1	1	2	0	2	2	6	2	11	3	4	4	5	19	2	8	0	3	3	0	3.2021200000000016	111.67800000000001	0.3684210526315789
DICUMAROL	25	37	336.063388104	324.2030000000001	336.29900000000004	124	0	0	0	0	2	2	4	0	0	0	6	2	6	2	4	2	2	19	2	6	0	0	0	0	2.9014000000000006	91.1036	0.05263157894736842
DICYCLOMINE_HYDROCHLORIDE	22	57	309.26677936000004	274.21399999999994	309.4940000000001	128	2	0	2	0	0	0	0	2	0	2	3	0	3	0	2	7	8	19	0	3	0	0	0	0	4.402200000000004	90.84000000000007	0.9473684210526315
DIDANOSINE	17	29	236.090940244	224.13499999999996	236.23100000000002	90	0	1	1	0	0	2	2	0	1	1	6	2	7	3	3	2	2	10	2	7	0	2	2	0	-0.21050000000000008	58.378500000000024	0.5
DIETHYLCARBAMAZINE_CITRATE	14	35	199.168462292	178.12999999999997	199.29799999999994	82	0	1	1	2	0	0	0	0	1	1	2	0	4	1	1	2	4	10	0	4	0	0	0	0	0.6956	57.38700000000004	0.9
DIETHYLSTILBESTROL_DIPHOSPHATE	20	40	268.14632988	248.19599999999994	268.356	104	0	0	0	0	2	0	2	0	0	0	2	2	2	0	2	4	4	18	2	2	0	0	0	0	4.828600000000005	83.60960000000004	0.2222222222222222
DIFLUNISAL	18	26	250.044150556	242.13599999999994	250.19999999999996	92	0	0	0	0	2	0	2	0	0	0	2	2	5	0	2	2	2	13	2	3	0	0	0	0	3.0356000000000005	60.41810000000002	0.0
DIGOXIN	55	119	780.4296067280001	716.4370000000002	780.9490000000001	312	4	4	8	0	0	0	0	4	3	7	14	6	14	4	8	7	7	41	6	14	0	21	21	0	2.2181000000000015	192.61079999999944	0.926829268292683
DIHYDROTACHYSTEROL	29	75	398.354866092	352.30700000000013	398.67500000000024	164	3	0	3	0	0	0	0	3	0	3	1	1	1	0	3	5	5	28	1	1	0	7	7	0	7.720900000000009	125.66580000000009	0.7857142857142857
DILOXANIDE	14	23	233.001033888	225.00999999999996	234.08200000000002	76	0	0	0	1	1	0	1	0	0	0	2	1	5	0	1	2	3	9	1	3	0	0	0	0	2.1586999999999996	57.010800000000025	0.2222222222222222
DIOSMIN	43	75	608.1741203239999	576.2930000000003	608.5490000000003	234	0	2	2	0	2	1	3	0	2	2	15	8	15	3	5	7	7	28	8	15	0	10	10	0	-1.0897000000000006	143.4184	0.4642857142857143
DIPHEMANIL_METHYLSULFATE	21	45	278.19032618809	254.22699999999992	278.4190000000001	108	0	1	1	0	2	0	2	0	1	1	0	0	1	1	3	2	2	20	0	1	0	0	0	0	4.358700000000004	89.98240000000007	0.3
DIPYRIDAMOLE	36	76	504.31725176000003	464.3160000000003	504.6360000000004	200	0	2	2	0	0	2	2	0	2	2	12	4	12	4	4	12	12	24	4	12	0	0	0	0	-0.017599999999997284	140.02519999999998	0.75
DIPYRONE	21	38	311.093977024	294.22700000000003	311.363	114	0	0	0	0	1	1	2	0	0	0	6	1	8	1	2	4	4	13	1	7	0	0	0	0	0.7659199999999999	80.56560000000003	0.3076923076923077
DIRITHROMYCIN	58	136	834.545305176	756.462	835.0859999999999	340	0	4	4	0	0	0	0	0	4	4	16	5	16	4	4	12	12	42	5	16	2	20	20	0	2.201700000000009	213.52389999999914	0.9761904761904762
DISOPYRAMIDE	25	54	339.231062548	310.25100000000003	339.48300000000006	134	0	0	0	1	1	1	2	0	0	0	3	1	4	1	2	8	8	21	2	4	0	1	1	0	3.361900000000002	102.24840000000006	0.42857142857142855
DISTIGMINE	30	62	416.24125834418	384.26600000000013	416.52200000000016	162	0	0	0	2	0	2	2	0	0	0	4	0	8	2	2	9	13	22	0	8	0	0	0	0	2.4574000000000007	111.01200000000006	0.45454545454545453
DISULFIRAM	16	36	296.05093264	276.39200000000005	296.5520000000001	94	0	0	0	0	0	0	0	0	0	0	4	0	6	0	0	4	9	10	0	2	0	0	0	0	3.6212000000000026	86.22000000000004	0.8
DOFETILIDE	29	56	441.139212964	414.35900000000015	441.57500000000016	160	0	0	0	0	2	0	2	0	0	0	6	2	10	0	2	11	11	19	2	8	0	0	0	0	1.9828999999999997	116.51300000000005	0.3684210526315789
DOXAZOSIN_MESYLATE	33	58	451.18556889999996	426.2830000000003	451.48300000000023	172	0	2	2	1	2	1	3	0	1	1	9	1	10	3	5	4	5	23	2	10	0	1	1	0	1.7177999999999995	122.20040000000002	0.34782608695652173
DOXOFYLLINE	19	33	266.101504928	252.14499999999995	266.25699999999995	102	0	1	1	0	0	2	2	0	1	1	8	0	8	3	3	2	2	11	0	8	0	0	0	0	-1.1933999999999994	65.90700000000002	0.5454545454545454
DOXYCYCLINE	32	56	444.1532657279999	420.2480000000003	444.44000000000017	170	3	0	3	1	1	0	1	0	0	0	9	6	10	0	4	2	2	22	7	10	0	6	6	0	-0.34759999999999863	109.77490000000002	0.4090909090909091
DRONABINOL	23	53	314.2245802	284.229	314.469	126	1	1	2	0	1	0	1	0	0	0	2	1	2	1	3	4	4	21	1	2	0	2	2	0	5.735800000000006	95.26480000000006	0.6190476190476191
DROSPIRENONE	27	57	366.21949481999997	336.2610000000001	366.5010000000002	144	6	1	7	0	0	0	0	5	1	6	3	0	3	1	7	0	0	24	0	3	0	10	10	1	4.305900000000004	99.49300000000007	0.8333333333333334
DUTASTERIDE	37	67	528.22114752	498.29700000000014	528.5370000000001	202	3	1	4	2	1	0	1	3	0	3	2	2	10	1	5	2	5	27	2	4	0	7	7	0	6.576100000000006	124.02240000000005	0.6296296296296297
DYDROGESTERONE	23	51	312.208930136	284.229	312.4530000000001	124	4	0	4	0	0	0	0	2	0	2	2	0	2	0	4	1	1	21	0	2	0	6	6	0	4.499500000000004	90.78700000000005	0.7142857142857143
DYPHYLLINE	18	32	254.101504928	240.13399999999996	254.24599999999995	98	0	0	0	0	0	2	2	0	0	0	8	2	8	2	2	3	3	10	2	8	0	1	1	0	-2.2130999999999985	63.30760000000002	0.5
EBASTINE	35	74	469.298079488	430.3570000000003	469.6690000000001	184	0	1	1	0	3	0	3	0	1	1	3	0	3	1	4	9	10	32	0	3	0	0	0	0	7.217600000000008	143.9804999999998	0.40625
EDETATE_CALCIUM_DISODIUM	20	36	292.09066547199996	276.116	292.244	114	0	0	0	0	0	0	0	0	0	0	6	4	10	0	0	11	11	10	4	10	0	0	0	0	-2.0711999999999957	63.423200000000016	0.6
EFAVIRENZ	21	30	315.027390868	306.60600000000005	315.6780000000001	110	1	1	2	1	1	0	1	1	0	1	2	1	7	1	3	0	1	14	1	3	0	1	1	0	4.073100000000002	69.78870000000002	0.35714285714285715
EMEPRONIUM	21	49	282.22162631609	254.22699999999992	282.451	112	0	0	0	0	2	0	2	0	0	0	0	0	1	0	2	6	6	20	0	1	0	1	1	0	4.693400000000004	91.45540000000007	0.4
EMTRICITABINE	16	26	247.0426904	237.171	247.25099999999998	88	0	1	1	0	0	1	1	0	1	1	7	2	8	2	2	2	2	8	3	6	0	2	2	0	-0.45500000000000024	56.32120000000002	0.5
ENALAPRIL	27	55	376.19982199599997	348.2290000000001	376.45300000000026	148	0	1	1	1	1	0	1	0	1	1	5	2	7	1	2	9	11	20	2	7	0	3	3	0	1.6046	100.15250000000007	0.55
ENCAINIDE	26	54	352.215078136	324.2540000000001	352.47800000000024	138	0	1	1	1	2	0	2	0	1	1	3	1	4	1	3	6	7	22	1	4	0	1	1	0	4.536900000000004	106.09520000000006	0.4090909090909091
ENOXACIN	23	40	320.12846862400005	303.188	320.3240000000001	122	0	1	1	0	0	2	2	0	1	1	6	2	8	3	3	3	3	15	2	7	0	0	0	0	0.6633000000000002	83.67700000000002	0.4
ENOXIMONE	17	29	248.061948624	236.21099999999996	248.30699999999996	88	0	0	0	0	1	1	2	0	0	0	3	2	5	1	2	3	3	12	2	4	0	0	0	0	1.9643199999999996	67.80590000000001	0.16666666666666666
ENPROFYLLINE	14	24	194.08037556	184.114	194.194	74	0	0	0	0	0	2	2	0	0	0	4	2	6	2	2	2	2	8	2	6	0	0	0	0	-0.17710000000000065	51.265400000000014	0.375
EPALRESTAT	21	34	319.03368527599997	306.30300000000005	319.40700000000004	108	0	1	1	1	1	0	1	0	1	1	4	1	6	1	2	4	4	15	1	4	0	0	0	0	2.918700000000001	87.71380000000005	0.13333333333333333
EPLERENONE	30	60	414.20423867999995	384.2580000000002	414.4980000000003	162	4	2	6	0	0	0	0	3	2	5	6	0	6	2	6	1	2	24	0	6	0	8	8	2	3.124500000000002	105.15300000000008	0.7916666666666666
EPROSARTAN_MESYLATE	30	54	424.14567824799997	400.3300000000002	424.52200000000016	156	0	0	0	0	1	2	3	0	0	0	5	2	7	2	3	10	10	23	2	6	0	0	0	0	4.744400000000003	116.97810000000005	0.2608695652173913
ERGOCALCIFEROL	29	73	396.339216028	352.30700000000013	396.6590000000003	162	3	0	3	0	0	0	0	3	0	3	1	1	1	0	3	5	5	28	1	1	0	6	6	0	7.641000000000009	125.64180000000009	0.7142857142857143
ERYTHRITYL	20	26	301.99822163199997	296.06	302.10800000000006	114	0	0	0	0	0	0	0	0	0	0	12	0	16	0	0	11	11	4	0	16	0	2	2	0	-1.4431999999999994	49.62760000000001	1.0
ERYTHROMYCIN	51	118	733.4612412040001	666.4010000000002	733.9370000000001	298	0	3	3	0	0	0	0	0	3	3	14	5	14	3	3	7	7	37	5	14	0	18	18	0	1.785600000000004	186.25799999999953	0.9459459459459459
ESTRADIOL	20	44	272.177630008	248.19599999999994	272.388	108	3	0	3	0	1	0	1	2	0	2	2	2	2	0	4	0	0	18	2	2	0	5	5	0	3.6092000000000026	78.73060000000004	0.6666666666666666
ESTRAMUSTINE	29	60	439.16809921199996	409.1630000000002	440.4110000000002	160	3	0	3	1	1	0	1	2	0	2	3	1	6	0	4	5	7	23	1	4	0	5	5	0	5.182000000000007	116.10280000000007	0.6956521739130435
ESTROPIPATE	24	46	350.118794804	328.2600000000001	350.43600000000015	130	3	0	3	0	1	0	1	2	0	2	4	1	6	0	4	2	2	18	1	5	0	4	4	0	3.293400000000002	88.24260000000005	0.6111111111111112
ETHACRYNIC_ACID	19	31	302.011264224	291.04499999999996	303.14099999999996	102	0	0	0	0	1	0	1	0	0	0	3	1	6	0	1	6	6	13	1	4	0	0	0	0	3.6057000000000023	73.35430000000004	0.23076923076923078
ETHINYL_ESTRADIOL	22	46	296.177630008	272.21799999999996	296.41	116	3	0	3	0	1	0	1	2	0	2	2	2	2	0	4	0	0	20	2	2	0	5	5	0	3.6126000000000023	86.50660000000003	0.6
ETHIONAMIDE	11	21	166.05646932	156.16899999999998	166.24899999999997	58	0	0	0	0	0	1	1	0	0	0	2	1	3	1	1	2	2	8	2	2	0	0	0	0	1.2782	49.502400000000016	0.25
ETHYLESTRENOL	21	53	288.245315644	256.21899999999994	288.475	118	4	0	4	0	0	0	0	3	0	3	1	1	1	0	4	1	1	20	1	1	0	6	6	0	5.090300000000005	86.94380000000007	0.9
ETIDRONATE_DISODIUM	11	19	205.974525856	197.96299999999997	206.027	68	0	0	0	0	0	0	0	0	0	0	3	5	9	0	0	2	2	2	5	7	0	0	0	0	-0.9922000000000002	34.711999999999996	1.0
ETILEFRINE	13	28	181.11027872	166.11499999999995	181.23499999999999	72	0	0	0	0	1	0	1	0	0	0	3	3	3	0	1	4	4	10	3	3	0	1	1	0	1.0351	51.61030000000003	0.4
ETODOLAC	21	42	287.152143532	266.191	287.3589999999999	112	0	1	1	0	1	1	2	0	0	0	2	2	4	2	3	4	4	17	2	4	0	1	1	0	3.383000000000001	81.55450000000005	0.47058823529411764
ETORICOXIB	24	39	358.0542764	343.7300000000001	358.8500000000001	122	0	0	0	0	1	2	3	0	0	0	4	0	6	2	3	3	3	18	0	4	0	0	0	0	4.175920000000003	95.76080000000002	0.1111111111111111
ETOZOLIN	19	39	284.1194635	264.22099999999995	284.3809999999999	106	0	2	2	1	0	0	0	0	2	2	5	0	6	2	2	3	4	13	0	5	0	1	1	0	1.4081000000000001	74.28900000000003	0.6923076923076923
ETRETINATE	26	56	354.21949481999997	324.25000000000006	354.4900000000001	140	0	0	0	0	1	0	1	0	0	0	3	0	3	0	1	7	8	23	0	3	0	0	0	0	5.645560000000007	109.52600000000007	0.34782608695652173
FAMCICLOVIR	23	42	321.143704088	302.18500000000006	321.33700000000016	124	0	0	0	0	0	2	2	0	0	0	9	1	9	2	2	7	9	14	2	9	0	0	0	0	0.5409999999999998	81.10840000000002	0.5
FAMOTIDINE	20	35	337.04493572	322.336	337.4560000000001	112	0	0	0	0	0	1	1	0	0	0	7	5	12	1	1	7	8	8	8	9	0	0	0	0	-0.5583299999999984	82.3324	0.375
FELBINAC	16	28	212.083729624	200.15199999999996	212.24800000000002	80	0	0	0	0	2	0	2	0	0	0	1	1	2	0	2	3	3	14	1	2	0	0	0	0	2.9807000000000015	63.21780000000003	0.07142857142857142
FELODIPINE	25	44	383.06911344799994	365.10700000000014	384.2590000000002	134	0	1	1	0	1	0	1	0	0	0	5	1	7	1	2	4	6	18	1	5	0	1	1	0	3.9643000000000033	96.38770000000004	0.3333333333333333
FENBUFEN	19	33	254.094294308	240.17299999999994	254.28500000000003	96	0	0	0	0	2	0	2	0	0	0	2	1	3	0	2	5	5	16	1	3	0	0	0	0	3.4011000000000022	73.07830000000004	0.125
FENOFIBRATE	25	46	360.112836832	339.6690000000001	360.837	132	0	0	0	0	2	0	2	0	0	0	4	0	5	0	2	6	7	20	0	4	0	0	0	0	4.680000000000004	97.26150000000004	0.3
FENOPROFEN_CALCIUM	18	32	242.094294308	228.16199999999995	242.274	92	0	0	0	0	2	0	2	0	0	0	2	1	3	0	2	4	4	15	1	3	0	1	1	0	3.6670000000000016	69.00880000000004	0.13333333333333333
FENOTEROL	22	43	303.147058152	282.18999999999994	303.358	118	0	0	0	0	2	0	2	0	0	0	5	5	5	0	2	6	6	17	5	5	0	2	2	0	2.0576	84.00690000000002	0.29411764705882354
FENQUIZONE	22	34	337.02878992399997	325.6920000000001	337.78800000000007	114	0	1	1	1	2	0	2	0	0	0	4	3	8	1	3	2	2	14	4	6	0	1	1	0	1.8415	83.09710000000001	0.07142857142857142
FINASTERIDE	27	63	372.277678392	336.2650000000001	372.55300000000017	150	3	1	4	2	0	0	0	3	0	3	2	2	4	1	4	1	3	23	2	4	0	7	7	0	3.8145000000000024	106.84240000000007	0.8260869565217391
FLAVOXATE	29	54	391.17835828	366.26700000000017	391.4670000000002	150	0	1	1	0	2	1	3	0	1	1	5	0	5	2	4	5	6	24	0	5	0	0	0	0	4.411120000000004	113.23050000000002	0.3333333333333333
FLECAINIDE_ACETATE	28	48	414.13781182	394.18600000000015	414.34600000000023	158	0	1	1	1	1	0	1	0	1	1	4	2	11	1	2	7	10	17	2	5	0	1	1	0	3.4407000000000014	87.51690000000004	0.5882352941176471
FLEROXACIN	26	44	369.13002609599994	351.19900000000007	369.3430000000001	140	0	1	1	0	1	1	2	0	1	1	5	1	9	2	3	4	4	17	1	6	0	0	0	0	1.6992	90.76830000000005	0.4117647058823529
FLOCTAFENINE	29	46	406.11404168400003	389.2240000000001	406.3600000000001	152	0	0	0	0	2	1	3	0	0	0	6	3	9	1	3	6	8	20	3	6	0	1	1	0	3.507200000000002	99.84480000000002	0.2
