m_name	n_atoms_without_Hydrogen	n_atoms_with_Hydrogen	m_weight	m_avg_weigth	m_weigth_without_Hydrogen	n_radical_electrons	n_valence_electrons	n_aliphatic_carbocycles	n_aliphatic_heterocycles	n_aliphatic_rings	n_amide_bonds	n_aromatic_carbocycles	n_aromatic_heterocycles	n_aromatic_rings	n_saturated_carbocycles	n_saturated_heterocycles	n_saturated_rings	n_HBA	n_HBD	n_hetero_atoms	n_hetero_cycles	n_rings	n_strict_rotable_bonds	n_non_strict_rotable_bonds	n_primary_carbon_atoms	n_HOH	n_O	n_Hydrogen_acceptors	n_Hydrogen_donnors	n_briged_head_atoms	n_atoms_stereo_centers	n_atoms_unspecified_stereo_centers	n_spiro_atoms	m_logp	m_mr	fraction_CSP3	p_meninges
IRBESARTAN	32	60	428.23245951600006	400.31600000000014	428.54000000000013	0	164	1	1	2	1	2	1	3	1	0	1	5	1	7	2	5	7	7	25	1	7	5	1	0	0	0	1	4.7774000000000045	123.75870000000002	0.4	0
CEFUROXIME_AXETIL	35	57	510.1056639039999	488.3050000000004	510.4810000000003	0	188	0	2	2	3	0	1	1	0	1	1	12	2	15	3	3	9	13	20	3	14	12	2	0	3	3	0	-0.16829999999999856	117.15810000000002	0.4	0
ALBENDAZOLE	18	33	265.08849772	250.218	265.338	0	96	0	0	0	1	1	1	2	0	0	0	4	2	6	1	2	4	6	12	2	5	4	2	0	0	0	0	3.2433000000000005	73.13640000000002	0.3333333333333333	0
ALCLOFENAC	15	26	226.039671892	215.571	226.659	0	80	0	0	0	0	1	0	1	0	0	0	2	1	4	0	1	5	5	11	1	3	2	1	0	0	0	0	2.5319000000000007	58.483800000000016	0.18181818181818185	0
PHENSUXIMIDE	14	25	189.078978592	178.12599999999995	189.21400000000003	0	72	0	1	1	2	1	0	1	0	1	1	2	0	3	1	2	1	1	11	0	3	2	0	0	1	1	0	1.1589	51.57700000000003	0.2727272727272727	1
ANILERIDINE	26	54	352.215078136	324.25400000000013	352.478	0	138	0	1	1	0	2	0	2	0	1	1	4	1	4	1	3	6	7	22	2	4	4	1	0	0	0	0	3.4082000000000017	104.98540000000004	0.4090909090909091	1
DICYCLOMINE_HYDROCHLORIDE	22	57	309.2667793600001	274.21399999999994	309.49400000000014	0	128	2	0	2	0	0	0	0	2	0	2	3	0	3	0	2	7	8	19	0	3	3	0	0	0	0	0	4.402200000000004	90.84000000000007	0.9473684210526316	0
FOSAMPRENAVIR	39	75	585.1909873619999	549.3280000000002	585.6160000000002	0	216	0	1	1	1	2	0	2	0	1	1	8	4	14	1	3	13	15	25	5	12	8	4	0	3	3	0	2.5198	144.14299999999992	0.48	0
BAMIFYLLINE	28	55	385.211389724	358.2520000000002	385.46800000000013	0	150	0	0	0	0	1	2	3	0	0	0	8	1	8	2	3	8	8	20	1	8	8	1	0	0	0	0	0.3387000000000002	108.66280000000008	0.45	0
SULFISOXAZOLE	18	31	267.067762276	254.206	267.31	0	96	0	0	0	0	1	1	2	0	0	0	5	2	7	1	2	3	3	11	3	6	5	2	0	0	0	0	1.6744400000000002	67.63990000000003	0.18181818181818185	0
OXYPHENONIUM_BROMIDE	25	59	348.25332036809	314.235	348.50700000000006	0	140	1	0	1	0	1	0	1	1	0	1	3	1	4	0	2	8	9	21	1	4	3	1	0	1	1	0	3.484100000000001	100.00620000000008	0.6666666666666666	0
CISAPRIDE_MONOHYDRATE	32	61	465.18306230800005	436.7210000000002	465.95300000000015	0	174	0	1	1	1	2	0	2	0	1	1	6	2	9	1	3	9	10	23	3	7	6	2	0	2	2	0	3.358100000000001	122.03660000000002	0.43478260869565216	0
MINOXIDIL	15	30	209.1276601	194.133	209.25299999999996	0	82	0	1	1	0	0	1	1	0	1	1	6	3	6	2	2	1	1	9	4	6	6	3	0	0	0	0	0.17236999999999925	55.74260000000001	0.5555555555555556	0
MENADIOL	13	23	174.06807956	164.11899999999997	174.19899999999996	0	66	0	0	0	0	2	0	2	0	0	0	2	2	2	0	2	0	0	11	2	2	2	2	0	0	0	0	2.5594200000000007	52.01460000000003	0.09090909090909093	0
STIRIPENTOL	17	35	234.12559443599997	216.15099999999995	234.295	0	92	0	1	1	0	1	0	1	0	0	0	3	1	3	1	2	2	3	14	1	3	3	1	0	1	1	0	2.835500000000002	67.06080000000004	0.42857142857142855	1
FLECAINIDE_ACETATE	28	48	414.13781182	394.18600000000015	414.3460000000002	0	158	0	1	1	1	1	0	1	0	1	1	4	2	11	1	2	7	10	17	2	5	4	2	0	1	1	0	3.440700000000001	87.51690000000004	0.5882352941176471	0
PAROXETINE	24	44	329.14272171999994	309.211	329.3710000000001	0	126	0	2	2	0	2	0	2	0	1	1	4	1	5	2	4	4	4	19	1	4	4	1	0	2	2	0	3.3265000000000016	88.17770000000006	0.3684210526315789	1
ENPROFYLLINE	14	24	194.08037556	184.114	194.19400000000002	0	74	0	0	0	0	0	2	2	0	0	0	4	2	6	2	2	2	2	8	2	6	4	2	0	0	0	0	-0.17710000000000065	51.26540000000002	0.375	0
NYSTATIN	65	140	925.50349994	850.5069999999997	926.1070000000003	0	370	0	2	2	0	0	0	0	0	1	1	17	12	18	2	2	3	3	47	13	18	17	12	0	18	18	0	0.7783000000000075	238.2761999999994	0.6808510638297872	0
NITRENDIPINE	26	46	360.13213635999995	340.20600000000013	360.36600000000016	0	138	0	1	1	0	1	0	1	0	0	0	7	1	8	1	2	5	7	18	1	8	7	1	0	1	1	0	2.5657000000000005	93.02210000000002	0.3333333333333333	0
CARBAZOCHROME	17	29	236.09094024400002	224.135	236.231	0	90	1	1	2	2	0	0	0	0	1	1	5	3	7	1	2	1	2	10	4	7	5	3	0	1	1	0	-1.2899999999999994	59.96390000000001	0.3	0
MELITRACEN	22	47	291.1986998	266.23799999999994	291.438	0	114	1	0	1	0	2	0	2	0	0	0	1	0	1	0	3	3	3	21	0	1	1	0	0	0	0	0	4.709300000000004	95.26200000000006	0.3333333333333333	1
PRAZOSIN	28	49	383.159354152	362.2400000000002	383.4080000000001	0	146	0	1	1	1	1	2	3	0	1	1	8	1	9	3	4	4	5	19	2	9	8	1	0	0	0	0	1.7845999999999995	103.87890000000004	0.3157894736842105	0
ENALAPRIL	27	55	376.19982199599997	348.22900000000016	376.4530000000002	0	148	0	1	1	1	1	0	1	0	1	1	5	2	7	1	2	9	11	20	2	7	5	2	0	3	3	0	1.6046	100.15250000000007	0.55	0
SALSALATE	19	29	258.05282342000004	248.14899999999997	258.22900000000004	0	96	0	0	0	0	2	0	2	0	0	0	4	2	5	0	2	3	4	14	2	5	4	2	0	0	0	0	2.309600000000001	66.46660000000001	0.0	0
PRALIDOXIME_CHLORIDE	10	19	137.07093932809	128.08999999999997	137.162	0	52	0	0	0	0	0	1	1	0	0	0	2	1	3	1	1	1	1	7	1	3	2	1	0	0	0	0	0.3191999999999999	36.99849999999999	0.14285714285714285	0
METHOCARBAMOL	17	32	241.09502258	226.123	241.24299999999997	0	94	0	0	0	1	1	0	1	0	0	0	5	2	6	0	1	6	7	11	3	6	5	2	0	1	1	0	0.5301999999999998	60.03120000000003	0.3636363636363637	1
OSELTAMIVIR_PHOSPHATE	22	50	312.204907376	284.186	312.41	0	126	1	0	1	1	0	0	0	0	0	0	5	2	6	0	1	7	9	16	3	6	5	2	0	3	3	0	1.2853999999999997	84.15610000000005	0.75	0
AMINOPHYLLINE	13	21	180.064725496	172.10299999999995	180.167	0	68	0	0	0	0	0	2	2	0	0	0	5	1	6	2	2	0	0	7	1	6	5	1	0	0	0	0	-1.0397000000000003	46.57570000000001	0.2857142857142857	1
CARBENOXOLONE	41	91	570.3556539399998	520.3670000000004	570.7670000000005	0	228	5	0	5	0	0	0	0	4	0	4	5	2	7	0	5	5	6	34	2	7	5	2	0	9	9	0	6.8283000000000085	153.8145999999998	0.8235294117647058	0
DEXRAZOXANE	19	35	268.117154992	252.145	268.273	0	104	0	2	2	4	0	0	0	0	2	2	6	2	8	2	2	3	3	11	2	8	6	2	0	1	1	0	-2.708299999999996	63.77440000000002	0.6363636363636364	0
METHACYCLINE_HYDROCHLORIDE	32	54	442.13761566399984	420.24800000000016	442.42400000000015	0	168	3	0	3	1	1	0	1	0	0	0	9	6	10	0	4	2	2	22	7	10	9	6	0	5	5	0	-0.4378999999999992	110.39390000000006	0.3181818181818182	0
INDOMETHACIN	25	41	357.07678567199997	341.66500000000013	357.793	0	128	0	0	0	0	2	1	3	0	0	0	4	1	6	1	3	4	5	19	1	5	4	1	0	0	0	0	3.9273200000000026	95.74730000000002	0.15789473684210525	0
BOSENTAN	39	68	551.1838546480001	522.3930000000004	551.6250000000003	0	204	0	0	0	0	2	2	4	0	0	0	10	2	12	2	4	10	11	27	2	11	10	2	0	0	0	0	4.203900000000004	144.65729999999982	0.25925925925925924	0
PROPICILLIN	26	48	378.124942804	356.27400000000017	378.45000000000016	0	140	0	2	2	2	1	0	1	0	2	2	5	2	8	2	3	6	7	18	2	7	5	2	0	4	4	0	1.4756999999999998	96.80750000000008	0.5	0
MIGLITOL	14	31	207.110672644	190.09	207.226	0	84	0	1	1	0	0	0	0	0	1	1	6	5	6	1	1	3	3	8	5	6	6	5	0	4	4	0	-3.262099999999999	47.55300000000002	1.0	0
BENZTHIAZIDE	26	40	430.98349660800005	417.8360000000001	431.94800000000015	0	138	0	1	1	0	2	0	2	0	0	0	6	2	11	1	3	5	5	15	3	7	6	2	0	0	0	0	2.2427	102.8457	0.13333333333333333	0
PRAMIPEXOLE	14	31	211.114318544	194.198	211.334	0	78	1	0	1	0	0	1	1	0	0	0	4	2	4	1	2	3	3	10	3	3	4	2	0	1	1	0	1.5822	60.63310000000002	0.7	1
VALSARTAN	32	61	435.227039788	406.29600000000016	435.52800000000013	0	168	0	0	0	1	2	1	3	0	0	0	5	2	8	1	3	10	11	24	2	8	5	2	0	1	1	0	4.1617000000000015	121.38650000000008	0.375	0
MENADIOL_SODIUM_DIPHOSPHATE	19	33	258.089208928	244.16099999999997	258.27299999999997	0	98	0	0	0	0	2	0	2	0	0	0	4	0	4	0	2	2	4	15	0	4	4	0	0	0	0	0	2.998820000000001	71.30300000000005	0.2	0
CLOBUTINOL	17	39	255.13899200400002	233.613	255.78900000000002	0	96	0	0	0	0	1	0	1	0	0	0	2	1	3	0	1	5	5	14	1	2	2	1	0	2	2	0	2.8312000000000013	73.49780000000004	0.5714285714285714	0
CLOPIDOGREL_BISULFATE	21	37	321.059027432	305.70099999999996	321.82900000000006	0	110	0	1	1	0	1	1	2	0	0	0	4	0	5	2	3	3	4	16	0	3	4	0	0	1	1	0	3.6739000000000015	84.64200000000005	0.3125	0
ROXITHROMYCIN	58	134	836.5245697319999	760.45	837.0579999999999	0	340	0	3	3	0	0	0	0	0	3	3	17	5	17	3	3	13	13	41	5	17	17	5	0	18	18	0	2.209600000000008	212.4659999999992	0.951219512195122	0
INDELOXAZINE	17	34	231.12592878400002	214.15899999999996	231.29499999999996	0	90	1	1	2	0	1	0	1	0	1	1	3	1	3	1	3	3	3	14	1	3	3	1	0	1	1	0	1.6230999999999998	67.28470000000003	0.42857142857142855	1
GLYCERIN	6	14	92.047344116	84.03	92.094	0	38	0	0	0	0	0	0	0	0	0	0	3	3	3	0	0	2	2	3	3	3	3	3	0	0	0	0	-1.6681	20.1784	1.0	0
CHLORAZEPATE	22	33	314.045819892	303.6400000000001	314.72800000000007	0	110	0	1	1	1	2	0	2	0	0	0	3	2	6	1	3	2	2	16	2	5	3	2	0	1	1	0	2.5827	83.58650000000004	0.0625	1
SORIVUDINE	20	33	347.995698236	336.03300000000013	349.13700000000006	0	110	0	1	1	0	0	1	1	0	1	1	7	4	9	2	2	3	3	11	4	8	7	4	0	4	4	0	-1.4863000000000006	72.2931	0.4545454545454545	0
CANDESARTAN	26	42	348.11100699199994	332.23000000000013	348.35800000000006	0	130	0	2	2	0	1	2	3	0	0	0	6	1	6	4	5	1	1	20	1	6	6	1	0	1	1	0	2.0796	94.52480000000004	0.25	0
NALBUPHINE	26	53	357.19400834399994	330.2340000000001	357.4500000000001	0	140	3	2	5	0	1	0	1	2	1	3	5	3	5	2	6	2	2	21	3	5	5	3	2	5	5	1	1.7073000000000005	95.41440000000006	0.7142857142857143	1
TOPIRAMATE	22	43	339.098787632	318.1980000000001	339.3660000000001	0	128	0	3	3	0	0	0	0	0	3	3	8	1	10	3	3	3	3	12	2	9	8	1	0	4	4	0	-0.3953999999999982	71.60420000000005	1.0	1
CHLORPHENESIN	13	24	202.039671892	191.549	202.637	0	72	0	0	0	0	1	0	1	0	0	0	3	2	4	0	1	4	4	9	2	3	3	2	0	1	1	0	1.0719999999999998	50.03960000000002	0.3333333333333333	1
PENTAERYTHRITOL	21	29	316.01387169599997	308.07099999999997	316.135	0	120	0	0	0	0	0	0	0	0	0	0	12	0	16	0	0	12	12	5	0	16	12	0	0	0	0	0	-1.1939999999999995	54.218600000000016	1.0	0
TROPISETRON	21	41	284.15247788	264.199	284.35900000000004	0	110	0	2	2	0	1	1	2	0	2	2	3	1	4	3	4	2	3	17	1	4	3	1	2	2	2	0	2.9499000000000013	81.30920000000005	0.4705882352941176	1
HYDROCORTISONE_CYPIONATE	35	77	486.298139064	444.31300000000033	486.6490000000005	0	194	5	0	5	0	0	0	0	4	0	4	6	2	6	0	5	6	7	29	2	6	6	2	0	7	7	0	4.302900000000005	130.20760000000007	0.8275862068965517	0
SULPIRIDE	23	46	341.14092721599997	318.249	341.4330000000001	0	128	0	1	1	1	1	0	1	0	1	1	5	2	8	1	2	6	7	15	3	7	5	2	0	1	1	0	0.5567000000000012	86.96940000000004	0.5333333333333333	1
NIFURTIMOX	19	32	287.057591516	274.193	287.297	0	104	0	1	1	0	0	1	1	0	1	1	7	0	9	2	2	3	3	10	0	8	7	0	0	1	1	0	0.6406000000000001	67.77820000000001	0.5	0
SULFACYTINE	20	34	294.078661308	280.224	294.336	0	106	0	0	0	0	1	1	2	0	0	0	6	2	8	1	2	4	4	12	3	7	6	2	0	0	0	0	0.6461999999999999	75.83390000000001	0.16666666666666666	0
DAPSONE	17	29	248.06194862400002	236.211	248.30700000000002	0	88	0	0	0	0	2	0	2	0	0	0	4	2	5	0	2	2	2	12	4	4	4	2	0	0	0	0	1.6838000000000002	67.16060000000002	0.0	0
RIBAVIRIN	17	29	244.080769484	232.111	244.207	0	94	0	1	1	1	0	1	1	0	1	1	8	4	9	2	2	3	3	8	5	9	8	4	0	4	4	0	-3.0114999999999994	51.54930000000002	0.625	0
ETRETINATE	26	56	354.21949482	324.25000000000006	354.4900000000002	0	140	0	0	0	0	1	0	1	0	0	0	3	0	3	0	1	7	8	23	0	3	3	0	0	0	0	0	5.645560000000009	109.52600000000008	0.3478260869565217	0
DICUMAROL	25	37	336.063388104	324.2030000000001	336.2990000000001	0	124	0	0	0	0	2	2	4	0	0	0	6	2	6	2	4	2	2	19	2	6	6	2	0	0	0	0	2.9014000000000006	91.1036	0.05263157894736842	0
BROMFENAC	20	32	333.00005534400003	322.073	334.16900000000004	0	102	0	0	0	0	2	0	2	0	0	0	3	2	5	0	2	4	4	15	3	4	3	2	0	0	0	0	2.889400000000001	79.76870000000002	0.06666666666666668	0
ACETYLCYSTEINE	10	19	163.030314148	154.12599999999995	163.19799999999998	0	58	0	0	0	1	0	0	0	0	0	0	3	3	5	0	0	3	4	5	2	4	3	3	0	1	1	0	-0.4945	39.09350000000001	0.6	0
ABACAVIR_SULFATE	21	39	286.154209196	268.19499999999994	286.339	0	110	2	0	2	0	0	2	2	1	0	1	7	3	7	2	4	4	4	14	4	7	7	3	0	2	2	0	1.0922999999999998	79.74990000000003	0.5	0
DEXAMETHASONE	28	57	392.19990224800006	363.23500000000007	392.46700000000016	0	154	4	0	4	0	0	0	0	3	0	3	5	3	6	0	4	2	2	22	3	5	5	3	0	8	8	0	1.8957	99.94440000000004	0.7272727272727273	1
DOXEPIN	21	42	279.162314292	258.2149999999999	279.383	0	108	0	1	1	0	2	0	2	0	0	0	2	0	2	1	3	3	3	19	0	2	2	0	0	0	0	0	3.9624000000000033	87.46600000000004	0.2631578947368421	1
LACIDIPINE	33	66	455.230787776	422.2870000000002	455.55100000000033	0	178	0	1	1	0	1	0	1	0	0	0	7	1	7	1	2	7	11	26	1	7	7	1	0	0	0	0	4.402500000000004	125.86370000000004	0.4230769230769231	0
CLOFIBRATE	16	31	242.07097202	227.582	242.702	0	88	0	0	0	0	1	0	1	0	0	0	3	0	4	0	1	4	5	12	0	3	3	0	0	0	0	0	3.060500000000001	62.79200000000004	0.4166666666666667	0
STAVUDINE	16	28	224.079706864	212.12	224.216	0	86	0	1	1	0	0	1	1	0	0	0	5	2	6	2	2	2	2	10	2	6	5	2	0	2	2	0	-0.7090799999999999	56.19550000000001	0.4	0
PIPERAZINE_CITRATE	6	16	86.08439831999998	76.05799999999998	86.13799999999999	0	36	0	1	1	0	0	0	0	0	1	1	2	2	2	1	1	0	0	4	2	2	2	2	0	0	0	0	-0.8208	25.739399999999996	1.0	0
VITAMIN_A_PALMITATE	38	98	524.45933116	464.3940000000004	524.8740000000004	0	216	1	0	1	0	0	0	0	0	0	0	2	0	2	0	1	20	21	36	0	2	2	0	0	0	0	0	11.542499999999983	167.39699999999962	0.6944444444444444	0
PHENOXYBENZAMINE_HYDROCHLORIDE	21	43	303.138992004	281.6570000000001	303.833	0	112	0	0	0	0	2	0	2	0	0	0	2	0	3	0	2	8	8	18	0	2	2	0	0	1	1	0	4.194900000000003	88.97100000000006	0.3333333333333333	0
MELPERONE	19	41	263.168542544	241.17999999999995	263.356	0	104	0	1	1	0	1	0	1	0	1	1	2	0	3	1	2	5	5	16	0	2	2	0	0	0	0	0	3.520500000000003	74.80250000000005	0.5625	1
ALFENTANIL	30	62	416.253588884	384.27000000000015	416.5260000000002	0	164	0	1	1	1	1	1	2	0	1	1	8	0	9	2	3	9	10	21	0	9	8	0	0	0	0	0	1.3839000000000006	114.45600000000006	0.6190476190476191	1
CLENBUTEROL	17	35	276.07961855599996	259.051	277.195	0	96	0	0	0	0	1	0	1	0	0	0	3	3	5	0	1	3	4	12	4	3	3	3	0	1	1	0	2.9971000000000005	73.58990000000001	0.5	0
RILUZOLE	15	20	234.00746844	229.16199999999995	234.20199999999997	0	80	0	0	0	0	1	1	2	0	0	0	4	1	7	1	2	1	2	8	2	3	4	1	0	0	0	0	2.7771	50.7154	0.125	0
PHENINDAMINE	20	39	261.151749608	242.21599999999992	261.368	0	100	1	1	2	0	2	0	2	0	0	0	1	0	1	1	4	1	1	19	0	1	1	0	0	1	1	0	3.9212000000000033	83.76100000000005	0.2631578947368421	1
ETHIONAMIDE	11	21	166.05646932	156.16899999999995	166.24899999999997	0	58	0	0	0	0	0	1	1	0	0	0	2	1	3	1	1	2	2	8	2	2	2	1	0	0	0	0	1.2782	49.502400000000016	0.25	0
ETHOPROPAZINE	22	46	312.166019768	288.29	312.482	0	116	0	1	1	0	2	0	2	0	0	0	3	0	3	1	3	5	5	19	0	2	3	0	0	1	1	0	5.019600000000005	96.39600000000004	0.3684210526315789	1
BENZONATATE	42	95	603.3618615159999	550.3260000000004	603.7500000000002	0	244	0	0	0	0	1	0	1	0	0	0	12	1	12	0	1	32	33	30	1	12	12	1	0	0	0	0	2.8346000000000027	158.5501999999997	0.7666666666666667	0
DIPIPANONE	26	57	349.24056461199996	318.2700000000001	349.51800000000003	0	138	0	1	1	0	2	0	2	0	1	1	2	0	2	1	3	7	7	24	0	2	2	0	0	1	1	0	5.216300000000006	108.46500000000006	0.4583333333333333	1
BROMHEXINE	18	38	373.9993228400001	355.97600000000017	376.13600000000025	0	100	1	0	1	0	1	0	1	1	0	1	2	1	4	0	2	3	3	14	2	2	2	1	0	0	0	0	4.5583000000000045	84.59440000000005	0.5714285714285714	0
METHAZOLAMIDE	14	22	236.003782116	228.21400000000003	236.278	0	78	0	0	0	1	0	1	1	0	0	0	6	1	9	1	1	1	2	5	2	7	6	1	0	0	0	0	-1.4237999999999986	48.70220000000001	0.4	0
PHENYLBUTAZONE	23	43	308.15247788	288.221	308.3810000000001	0	118	0	1	1	2	2	0	2	0	1	1	2	0	4	1	3	5	5	19	0	4	2	0	0	0	0	0	3.7878000000000025	90.87100000000004	0.2631578947368421	0
ACECAINIDE	20	43	277.179026976	254.18399999999997	277.368	0	110	0	0	0	2	1	0	1	0	0	0	3	2	5	0	1	7	9	15	2	5	3	2	0	0	0	0	1.7165999999999997	80.86690000000004	0.4666666666666667	0
BUSULFAN	14	28	246.02318016799998	232.19400000000002	246.306	0	86	0	0	0	0	0	0	0	0	0	0	6	0	8	0	0	7	7	6	0	6	6	0	0	0	0	0	-0.2809999999999997	50.82560000000003	1.0	0
QUINACRINE	28	58	399.20774026	369.72600000000017	399.9660000000002	0	150	0	0	0	0	2	1	3	0	0	0	4	1	5	1	3	9	9	23	1	4	4	1	0	1	1	0	5.972400000000006	120.91770000000004	0.43478260869565216	0
ACETOPHENAZINE	29	58	411.198048168	382.33900000000017	411.5710000000003	0	154	0	2	2	0	2	0	2	0	1	1	6	1	6	2	4	7	7	23	1	5	6	1	0	0	0	0	3.4919000000000024	118.60030000000008	0.43478260869565216	1
SEMATILIDE	21	44	313.14601259600005	290.2390000000001	313.4230000000001	0	118	0	0	0	1	1	0	1	0	0	0	4	2	7	0	1	8	9	14	2	6	4	2	0	0	0	0	1.1297	85.02970000000005	0.5	0
FOSFOMYCIN_TROMETHAMINE	8	15	138.008195334	131.003	138.059	0	48	0	1	1	0	0	0	0	0	1	1	2	2	5	1	1	1	1	3	2	4	2	2	0	2	2	0	-0.09110000000000007	26.37909999999999	1.0	0
PYRIDOSTIGMINE_BROMIDE	13	26	181.09715407608996	168.11099999999996	181.215	0	70	0	0	0	1	0	1	1	0	0	0	2	0	4	1	1	1	3	9	0	4	2	0	0	0	0	0	0.5714999999999999	47.32900000000003	0.3333333333333333	0
THIAMPHENICOL	21	36	355.00479894	341.107	356.22700000000015	0	118	0	0	0	1	1	0	1	0	0	0	5	3	9	0	1	6	7	12	3	6	5	3	0	2	2	0	0.40430000000000027	79.02210000000002	0.4166666666666667	0
TRAMADOL	19	44	263.18852904	238.18099999999995	263.381	0	106	1	0	1	0	1	0	1	1	0	1	3	1	3	0	2	4	4	16	1	3	3	1	0	2	2	0	2.6346000000000007	77.40280000000007	0.625	1
QUAZEPAM	25	36	386.02675991200005	375.713	386.801	0	130	0	1	1	0	2	0	2	0	0	0	2	0	8	1	3	2	3	17	0	2	2	0	0	0	0	0	5.026200000000002	94.35700000000004	0.17647058823529413	1
ITRACONAZOLE	49	87	704.239307056	667.3430000000002	705.6470000000003	0	256	0	2	2	0	3	2	5	0	2	2	12	0	14	4	7	11	11	35	0	12	12	0	0	3	3	0	5.5773000000000055	188.17599999999948	0.37142857142857133	0
METAXALONE	16	31	221.10519334	206.136	221.256	0	86	0	1	1	1	1	0	1	0	1	1	3	1	4	1	2	3	3	12	1	4	3	1	0	1	1	0	1.7906399999999996	59.682700000000025	0.4166666666666667	1
SULTAMICILLIN	40	70	594.1454205399998	564.4280000000002	594.6680000000002	0	216	0	4	4	3	1	0	1	0	4	4	11	2	15	4	5	7	10	25	3	13	11	2	0	6	6	0	-0.5885999999999969	140.48189999999985	0.56	0
TRIMIPRAMINE	22	48	294.209598832	268.23400000000004	294.44199999999995	0	116	0	1	1	0	2	0	2	0	0	0	2	0	2	1	3	4	4	20	0	2	2	0	0	1	1	0	4.121000000000003	95.01600000000006	0.4	1
LEVAMISOLE_HYDROCHLORIDE	14	26	204.07211938400002	192.202	204.298	0	72	0	2	2	0	1	0	1	0	1	1	3	0	3	2	3	1	1	11	0	2	3	0	0	1	1	0	2.1461	60.649000000000036	0.3636363636363637	0
CANDESARTAN_CILEXETIL	45	79	610.253982808	576.3990000000002	610.6710000000003	0	232	1	0	1	0	3	2	5	1	0	1	11	1	12	2	6	10	13	33	1	12	11	1	0	1	1	0	6.319100000000009	164.37019999999956	0.3333333333333333	0
ALMOTRIPTAN	23	48	335.16674804	310.27299999999997	335.4730000000002	0	126	0	1	1	0	1	1	2	0	1	1	3	1	6	2	3	6	6	17	1	5	3	1	0	0	0	0	2.1976000000000004	93.98750000000004	0.5294117647058824	1
ATENOLOL	19	41	266.163042564	244.165	266.34099999999995	0	106	0	0	0	1	1	0	1	0	0	0	4	3	5	0	1	8	8	14	4	5	4	3	0	1	1	0	0.4521000000000001	73.98090000000003	0.5	0
BETHANECHOL_CHLORIDE	11	28	161.12845420409	144.089	161.22499999999997	0	66	0	0	0	1	0	0	0	0	0	0	2	1	4	0	0	3	4	7	2	4	2	1	0	1	1	0	0.17640000000000045	43.0298	0.8571428571428571	0
BENZNIDAZOLE	19	31	260.090940244	248.157	260.253	0	98	0	0	0	1	1	1	2	0	0	0	5	1	7	1	2	5	6	12	1	7	5	1	0	0	0	0	1.1076999999999997	67.17010000000003	0.16666666666666666	0
TILIDINE	20	43	273.172878976	250.19199999999995	273.37600000000003	0	108	1	0	1	0	1	0	1	0	0	0	3	0	3	0	2	4	5	17	0	3	3	0	0	2	2	0	2.7677000000000014	80.60200000000005	0.4705882352941176	1
NEFAZODONE	33	65	469.224452944	437.76100000000014	470.0170000000003	0	176	0	1	1	0	2	1	3	0	1	1	7	0	8	2	4	10	10	25	0	7	7	0	0	0	0	0	3.5519000000000016	132.52399999999997	0.44	1
INDAPAMIDE	24	40	365.06009005199996	349.71400000000006	365.842	0	126	0	1	1	1	2	0	2	0	0	0	4	2	8	1	3	3	4	16	3	6	4	2	0	1	1	0	2.0834	92.37840000000004	0.1875	0
OXYPHENCYCLIMINE_HYDROCHLORIDE	25	53	344.20999275599996	316.23100000000005	344.4550000000001	0	136	1	1	2	0	1	0	1	1	0	1	5	1	5	1	3	5	6	20	1	5	5	1	0	1	1	0	2.7317000000000013	97.42180000000003	0.6	0
CHLORAMPHENICOL	20	32	322.01232684400003	311.03600000000006	323.13200000000006	0	110	0	0	0	1	1	0	1	0	0	0	5	3	9	0	1	6	7	11	3	7	5	3	0	2	2	0	0.909	72.56670000000003	0.3636363636363637	0
TOLOXATONE	15	28	207.08954327599997	194.125	207.229	0	80	0	1	1	1	1	0	1	0	1	1	3	1	4	1	2	2	2	11	1	4	3	1	0	1	1	0	1.3125199999999997	55.87980000000003	0.3636363636363637	1
FLEROXACIN	26	44	369.130026096	351.19900000000007	369.34300000000013	0	140	0	1	1	0	1	1	2	0	1	1	5	1	9	2	3	4	4	17	1	6	5	1	0	0	0	0	1.6992	90.76830000000004	0.4117647058823529	0
DYPHYLLINE	18	32	254.101504928	240.134	254.24599999999995	0	98	0	0	0	0	0	2	2	0	0	0	8	2	8	2	2	3	3	10	2	8	8	2	0	1	1	0	-2.2130999999999985	63.30760000000002	0.5	0
VIGABATRIN	9	20	129.078978592	118.07099999999998	129.159	0	52	0	0	0	0	0	0	0	0	0	0	2	2	3	0	0	4	4	6	3	3	2	2	0	1	1	0	0.3645000000000001	35.04219999999999	0.5	1
GLYBURIDE	33	61	493.14381967599996	465.7890000000002	494.0130000000003	0	178	1	0	1	3	2	0	2	1	0	1	5	3	10	0	3	8	11	23	3	8	5	3	0	0	0	0	3.641700000000002	126.20940000000006	0.39130434782608703	0
CYCLOBENZAPRINE_HYDROCHLORIDE	21	42	275.167399672	254.22699999999992	275.39500000000004	0	106	1	0	1	0	2	0	2	0	0	0	1	0	1	0	3	3	3	20	0	1	1	0	0	0	0	0	2.6446000000000014	91.31400000000004	0.2	0
COCAINE	22	43	303.147058152	282.18999999999994	303.35800000000006	0	118	0	2	2	0	1	0	1	0	2	2	5	0	5	2	3	3	5	17	0	5	5	0	2	4	4	0	1.8677	80.34150000000005	0.5294117647058824	1
